AAA, Analytic and Advisory Activities,WB intranet
AAC, Account Assignment Category,WB intranet
ABC, Activity Based Costing,WB intranet
ABCDE, Annual Bank Conference on Development Economics,WB intranet
ABCDQ, Actions on Bunching Commitments Disbursements and Quality,WB intranet
ACGF, Africa Catalytic Growth Fund,WB intranet
ACS, Activity Completion Summary,WB intranet
ACS, Administrative and Client Support,WB intranet
ACS, Association of Caribbean States,WB intranet
AD, Alzheimer Disease,WB intranet
AD&D, Accidental Death and Dismemberment,WB intranet
ADB, Asian Development Bank,WB intranet
ADDO, Accredited Drug Dispensing Outlets,WB intranet
ADF, African Development Fund,WB intranet
ADI, Africa Development Indicators,WB intranet
ADM, Accountability and Decision Making,WB intranet
AED, Automated External Defibrillator,WB intranet
AEM, Adobe Experience Manager,WB intranet
AF, Adaptation Fund,WB intranet
AfDB, African Development Bank,WB intranet
AFR, Sub-Saharan Africa,WB intranet
AFRCC, Africa Climate Change Program,WB intranet
AGE, Applied General Equilibrium,WB intranet
AgGP, Agriculture Global Practice,WB intranet
AI, Access to Information (World Bank Policy),WB intranet
AICD, Africa Infrastructure Country Diagnostic,WB intranet
AIDS, Acquired Immune Deficiency Syndrome,WB intranet
AIMM, Anticipated Impact Measurement and Monitoring,WB intranet
AIN, Activity Initiation Note,WB intranet
AIP, Annual Three-Year Investment Plan,WB intranet
AIP, Access to Information Policy (IFC),WB intranet
AIS, Activity Initiation Summary,WB intranet
AMC, Asset Management Company,WB intranet
AMIS, Agricultural Market Information System,WB intranet
AML, Anti-Money Laundering,WB intranet
AML/CFT, Anti-Money Laundering and Combating the Financing of Terrorism,WB intranet
AMS, Administrative Manual Statement,WB intranet
AMSCO, African Management Services Company,WB intranet
ANDEAN, Andean Group,WB intranet
ANM, Auxiliary Nurse Midwife,WB intranet
APDF, Africa Project Development Facility,WB intranet
APEC, Asia Pacific Economic Cooperation,WB intranet
APL, A
